reviewer_id,product_id,review_text,rating,verified_purchase,review_count,days_since_joined,helpful_votes,is_fake
user_9536,prod_177,"Solid quality, arrived on time. Minor scratches on packaging but product is fine.",4.0,False,162,1852,8,0
user_7713,prod_855,Really happy with this purchase. Exceeded expectations.,5.0,False,25,1766,3,0
user_6908,prod_950,Not bad for the price. Some features missing but overall okay.,5.0,True,25,1850,46,0
user_8550,prod_820,"Great product, works exactly as described. Would buy again.",5.0,True,32,1020,22,0
user_5393,prod_691,Not bad for the price. Some features missing but overall okay.,4.0,True,184,1555,10,0
user_4237,prod_485,Not bad for the price. Some features missing but overall okay.,3.0,True,76,100,10,0
user_8668,prod_315,Average experience. Nothing special but does the job.,4.0,True,95,920,0,0
user_5018,prod_136,Not bad for the price. Some features missing but overall okay.,4.0,True,27,276,34,0
user_8621,prod_116,Really happy with this purchase. Exceeded expectations.,4.0,True,61,1663,12,0
bot_8001,prod_703,BEST PRODUCT EVER!!! AMAZING!!! BUY NOW!!! FIVE STARS!!!,5.0,False,4,28,0,1
user_9706,prod_469,Not bad for the price. Some features missing but overall okay.,4.0,False,77,180,23,0
user_1927,prod_428,Not bad for the price. Some features missing but overall okay.,3.0,True,73,427,27,0
bot_6571,prod_857,Absolutely perfect in every way! Cannot find a single flaw! Perfect!!!,5.0,False,2,28,0,1
user_8533,prod_858,Not bad for the price. Some features missing but overall okay.,5.0,False,51,1959,16,0
user_7507,prod_970,"Solid quality, arrived on time. Minor scratches on packaging but product is fine.",4.0,False,46,1567,28,0
user_4902,prod_720,Really happy with this purchase. Exceeded expectations.,4.0,True,127,1346,5,0
bot_3011,prod_275,BEST PRODUCT EVER!!! AMAZING!!! BUY NOW!!! FIVE STARS!!!,5.0,False,3,2,0,1
user_3349,prod_744,"Great product, works exactly as described. Would buy again.",5.0,True,148,566,3,0
user_6443,prod_204,"Solid quality, arrived on time. Minor scratches on packaging but product is fine.",3.0,True,92,1997,14,0
bot_3701,prod_590,WOW WOW WOW!! Super super super great product!!!! Love it!!!!!,5.0,False,2,16,0,1
bot_2066,prod_900,BEST PRODUCT EVER!!! AMAZING!!! BUY NOW!!! FIVE STARS!!!,5.0,False,1,10,0,1
bot_2153,prod_461,Absolutely perfect in every way! Cannot find a single flaw! Perfect!!!,5.0,False,3,8,0,1
user_8556,prod_988,"Great product, works exactly as described. Would buy again.",3.0,False,164,1490,18,0
