reviewer_id,product_id,review_text,rating,verified_purchase,review_count,days_since_joined,helpful_votes,is_fake
bot_1723,biz_191,Super super great headphones! Best seller! Number one! Perfect perfect!,5.0,False,2,13,0,1
user_1892,biz_083,I really like this place! They need more promotions though I will say that. Also it's easy to spend a lot which as a local we all know gets old fast. But compared to other clubs I find this one to be a lot of fun.,2.0,True,70,1593,14,0
user_4676,biz_128,"We went to this place about two months ago and ordered two pastrami sandwiches to go.   I asked them to \""""deconstruct\"""" them, meaning not putting the bread on the meat.  We got potato salad and a pickle with it.    The pastrami was really good when I made it at home.    The bread, not so good.  If it was rye, it sure didn't look like it or tasted like it either.       The other day we went back to get the pastrami again and this time it did not even look like Pastrami.   It was not \""""brisket pastrami\"""" but \""""round pastrami\"""" no the kind I wanted.   The young lady behind the counter just told me that they get what ever is sent to them, and wasn't too helpful.    I will call the owner-manager tomorrow.   Very disappointed!",1.0,True,245,1211,69,0
user_2696,biz_108,"This is really a great place.  I visit almost every time I'm in the area.  Pizzas are massive and I've always had a good experience.   My first visit the asparagus was massive, but recently they seem to be much smaller.",2.0,True,32,934,78,0
user_5641,biz_171,"Completed disappointed with my stay here :( I bought a LivingSocial deal here for the weekend. At first I was amazed because it looked swanky but it went downhill quickly. We got to the room and we found that a bunch of lights were not working. We requested an extra comforter or blanket and never got it (and we had to request it again). The sink handle completely came out of the wall it was mounted into and there was even a power outage and everyone was stranded because the elevators didn't work. Ugh, I would not come back here.",1.0,False,264,1798,9,0
user_4008,biz_136,"Unless you're dying don't even think about getting decent service from our city's finest.  After a late-night vehicle burglary I learned very quickly how Phoenix PD deals with its non-emergency situations.  They don't.   Well only during certain hours and on certain days, and if you're hopping on one foot.   A 24 hour police department this isn't.\n\nThe irony is I felt like I was in a smaller city, not the nation's fifth largest city.  Actually no.  In a medium-sized city, someone would have picked up the phone and I wouldn't have to hear a computerized loop for 40 minutes.\n\nRealizing this wasn't a 911 emergency I called the non-emergency line and got NOWHERE.  I was put on hold for 40 minutes before finally getting an operator who told me to call back later - at 6 AM!!   I saw two moto",1.0,True,53,966,3,0
user_1922,biz_019,"Definitely not real Mexican.  More of a fusion food with Mexican dishes.  A salad with cranberries?  A basket of bread (good quality though) with olive tapenade?  A shame, i had such high expectations! I had the pork tacos and they were ok, a bit too salty and the tortilla either isn't homemade or has been sitting in plastic for quite some time.  My wife had a chili poblano dish with chicken and a massive wheat roll. I mean, come on, a french style sandwich roll?  She hated her dish, scraped the chicken and barely made it through the filling.  We left plates full of bread and the waiter said nothing, but he did give us his card for his personal art sales, a good touch to finish off the night.",1.0,False,253,1937,2,0
bot_9028,biz_008,FANTASTIC coffee maker! Exceeded ALL expectations! Will buy again and again!,5.0,False,2,7,0,1
user_5996,biz_030,"I was also in the group of four from the below review. The service was beyond absurd. Ordering four drinks in a pub that is moderately busy shouldn't take over half an hour. Our 'waitress' took 15 minutes of that to even come and greet the table. \n\nAfter ordering we sat and watched new customers come in and sit at the bar, promptly receiving service and drinks. All the while, our waitress would stand at the bar and drink her own drink, watch the football game or just completely disappear into the back. At first, I thought she was waiting on the bar, but the bartender wasn't busy, as he spent most of his time standing and talking. \n\nFinally our drinks came. The whiskey was an issue, plus the cider was flat and tasted horrible. Alas, the waitress was nowhere to be seen for over 10 minute",1.0,False,193,2186,11,0
user_3456,biz_031,"New name same terrible management. I would be a stressed waitress too if there was no one to bus tables but me. However, give patrons a wait time or have them sign in. It was irritating to see a couple who arrived after us get seated first. Waiting is not a big deal, but ignoring customers is. Find someone who knows how to run a business and prioritizes customer service.",1.0,True,139,1628,21,0
